mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Dlg2,DLG2,-0.3483596495923209,-0.08673485376815404,0.05714285714285714,0.9506493506493506,0.046838221113913,True
Dlgap1,DLGAP1,0.0469283110548127,-0.013850516031512439,1.0,1.0,2.8207939076279125e-67,False
Dnaja1,DNAJA1,0.0785658784842124,-0.009348107981544063,0.8857142857142857,1.0,3.5948939379064713e-41,False
Dnaja2,DNAJA2,-0.7288634773213966,-0.025428512838063744,0.7,1.0,0.0,True
Dnajb6,DNAJB6,-0.0084316714556238,0.8751378468842961,0.7,1.0,0.8827307970555872,False
Dnajc10,DNAJC10,0.0312146892655367,0.5127465334596504,0.4,1.0,0.3691927805565166,True
Dnajc5,DNAJC5,-0.0998941971464005,-0.08148114253812866,0.05714285714285714,0.9506493506493506,8.291691678320447e-41,True
Dpp10,DPP10,0.2191249155668975,-0.18774084024919413,0.2,0.9695364238410596,2.206703672771372e-22,False
Dst,DST,0.1086727859947047,-0.02131229734384965,0.6857142857142857,1.0,1.0222330327361173e-29,False
Dstn,DSTN,-0.0006476999197377,0.0648953950745732,0.2,0.9695364238410596,0.8236105724218903,False
Dtna,DTNA,-0.2455405705405705,-0.009489760319487561,0.8857142857142857,1.0,0.0001079011226749,True
Eif1ax,EIF1AX,0.2978522737688877,-0.15947123560700638,0.2,0.9695364238410596,2.7514463055470677e-32,False
Eif2s2,EIF2S2,-0.2593873478453594,-0.08994138882407043,0.4,1.0,1.5901502428889377e-87,True
Eif4e,EIF4E,-0.6735920534148111,0.42224392872781163,1.0,1.0,2.1250685700909484e-55,False
Eif4g3,EIF4G3,0.0445919278363904,-0.033758192816575994,0.6857142857142857,1.0,0.0005434876390619,False
Eif5,EIF5,0.3164965439574913,0.015488028821907474,0.8857142857142857,1.0,4.579042251672093e-100,True
Eif5b,EIF5B,0.0461212367007962,-0.07111111111111112,0.7,1.0,0.3842870940114432,False
Eloc,ELOC,-0.5700486398911813,0.009171547901552085,1.0,1.0,0.0,False
Ensa,ENSA,0.267343958452449,0.10423267522271584,0.05714285714285714,0.9506493506493506,3.53532292992431e-06,True
