gene,n_disease,n_control,median_disease,median_control,delta_disease_minus_control,cliffs_delta,p_value,fdr_BH,delta_ci95_lo,delta_ci95_hi
MYT1L,3,3,0.9721946375372393,0.9805274833620902,-0.008332845824850832,-0.5555555555555556,0.4,1.0,,
MYO9A,3,3,0.7,0.8397291196388262,-0.13972911963882628,-0.5555555555555556,0.4,1.0,,
TM7SF3,3,3,0.4708423326133909,0.4357410881801126,0.035101244433278334,0.5555555555555556,0.4,1.0,,
PMP2,3,3,0.4898419864559819,0.6683168316831684,-0.17847484522718643,-0.5555555555555556,0.4,1.0,,
NAPB,3,3,0.8888206388206388,0.9898382589550343,-0.10101762013439552,-0.5555555555555556,0.4,1.0,,
HSPA5,3,3,0.03287310979618672,0.04613406204790227,-0.01326095225171555,-0.5555555555555556,0.4,1.0,,
HNRNPD,3,3,0.7347417840375586,0.9090909090909091,-0.17434912505335043,-0.5555555555555556,0.4,1.0,,
DGCR6,3,3,0.7687595712098009,0.8358161648177496,-0.06705659360794869,-0.5555555555555556,0.4,1.0,,
DGCR5,3,3,0.2612359550561798,0.2087912087912088,0.052444746264971004,0.5555555555555556,0.4,1.0,,
POP4,3,3,0.12735849056603774,0.15602836879432624,-0.02866987822828851,-0.5555555555555556,0.4,1.0,,
ELP1,3,3,0.184,0.2635431918008785,-0.07954319180087849,-0.5555555555555556,0.4,1.0,,
SMYD3,3,3,0.7181818181818181,0.9093406593406593,-0.1911588411588412,-0.5555555555555556,0.4,1.0,,
EMC2,3,3,0.48929159802306427,0.8553326293558606,-0.36604103133279636,-0.5555555555555556,0.4,1.0,,
RIC3,3,3,0.5135135135135135,0.5771715721464465,-0.06365805863293306,-0.5555555555555556,0.4,1.0,,
TRIM44,3,3,0.8407789232531501,0.8892278360343184,-0.04844891278116836,-0.5555555555555556,0.4,1.0,,
EIF2S2,3,3,0.6756756756756757,0.7656170644997461,-0.08994138882407043,-0.5555555555555556,0.4,1.0,,
ZNF532,3,3,0.6885245901639344,0.9283634245777519,-0.23983883441381748,-0.5555555555555556,0.4,1.0,,
ACTR3,3,3,0.08756345177664974,0.12128043282236249,-0.033716981045712746,-0.5555555555555556,0.4,1.0,,
ZBTB1,3,3,0.7156862745098039,0.5446428571428571,0.17104341736694684,0.5555555555555556,0.4,1.0,,
PFKFB2,3,3,0.5486111111111112,0.39316239316239315,0.155448717948718,0.5555555555555556,0.4,1.0,,
SCN3A,3,3,0.7659033078880407,0.7973568281938326,-0.03145352030579185,-0.5555555555555556,0.4,1.0,,
ADD3,3,3,0.943754565376187,0.8510028653295129,0.0927517000466741,0.5555555555555556,0.4,1.0,,
ZNF106,3,3,0.8021978021978022,0.9343702579666161,-0.13217245576881387,-0.5555555555555556,0.4,1.0,,
UBAP2,3,3,0.46078431372549017,0.6113695090439276,-0.15058519531843745,-0.5555555555555556,0.4,1.0,,
AGAP2,3,3,0.2621951219512195,0.8951156812339331,-0.6329205592827136,-0.5555555555555556,0.4,1.0,,
ANXA11,3,3,0.1794871794871795,0.13183730715287517,0.047649872334304316,0.5555555555555556,0.4,1.0,,
KCND3,3,3,0.7513611615245009,0.8667883211678832,-0.11542715964338224,-0.5555555555555556,0.4,1.0,,
SSB,3,3,0.8582333696837514,0.822265625,0.03596774468375141,0.5555555555555556,0.4,1.0,,
USP33,3,3,0.835820895522388,0.9528741584671155,-0.11705326294472751,-0.5555555555555556,0.4,1.0,,
PSME3IP1,3,3,0.48654708520179374,0.6760655737704918,-0.18951848856869807,-0.5555555555555556,0.4,1.0,,
PSMF1,3,3,0.25461254612546125,0.2718204488778055,-0.01720790275234424,-0.5555555555555556,0.4,1.0,,
MIR99AHG,3,3,0.5857142857142857,0.22857142857142856,0.3571428571428572,0.5555555555555556,0.4,1.0,,
TENM2,3,3,0.8647798742138365,0.897119341563786,-0.032339467349949524,-0.5555555555555556,0.4,1.0,,
KCNT1,3,3,0.13611615245009073,0.10920897284533648,0.02690717960475425,0.5555555555555556,0.4,1.0,,
JPX,3,3,0.5506329113924051,0.6645161290322581,-0.11388321763985298,-0.5555555555555556,0.4,1.0,,
BDP1,4,4,0.3831247542917049,0.5840221697806838,-0.20089741548897888,-0.375,0.4857142857142857,1.0,,
GFAP,4,4,0.9738707345727374,0.970227996567208,0.003642738005529389,0.375,0.4857142857142857,1.0,,
ENSG00000263494,4,4,0.3682566049675684,0.45538241886654895,-0.08712581389898055,-0.375,0.4857142857142857,1.0,,
BAIAP2,4,4,0.6357996284365359,0.6884328690035033,-0.05263324056696739,-0.375,0.4857142857142857,1.0,,
CNTNAP2,4,4,0.831617632332619,0.9000553869221077,-0.06843775458948875,-0.375,0.4857142857142857,1.0,,
TMOD2,4,4,0.9187129497196417,0.9502281891803341,-0.03151523946069246,-0.375,0.4857142857142857,1.0,,
NEFL,4,4,0.7425119712689545,0.9283255352876645,-0.18581356401870996,-0.375,0.4857142857142857,1.0,,
TMEM50B,4,4,0.5394956667014723,0.13546929630749432,0.404026370393978,0.375,0.4857142857142857,1.0,,
GPM6B,4,4,0.5071302671460073,0.5394259340639063,-0.03229566691789898,-0.375,0.4857142857142857,1.0,,
ATG12,4,4,0.6178501755754975,0.5776843285674236,0.04016584700807391,0.375,0.4857142857142857,1.0,,
NEGR1,4,4,0.8734875251957062,0.7613469112846726,0.11214061391103358,0.375,0.4857142857142857,1.0,,
GTF2H5,4,4,0.14728370580774247,0.11785715035301039,0.02942655545473208,0.375,0.4857142857142857,1.0,,
WAPL,4,4,0.6649197860962567,0.6990429773603875,-0.03412319126413077,-0.375,0.4857142857142857,1.0,,
