gene,SRR24710558,SRR24710556,SRR24710554,SRR24710705,SRR24710703,SRR24710564,SRR24710562,SRR24710560
ABHD12,0.10369141435089174,0.1791044776119403,0.12863070539419086,0.09467455621301775,0.0813441483198146,0.10850801479654747,0.05032292787944026,
ABHD13,0.905940594059406,,,,0.8353982300884956,,0.6187433439829606,
ABHD14A,0.96499176276771,,,,0.9593717992488904,,0.9524880517289851,
ABHD14B,,,,0.7325581395348837,,,,
ABHD17A,0.9800995024875622,,,0.9846301633045149,,0.9697275479313825,,
ABHD18,,,,,,,0.913946587537092,
ABHD2,0.95246717971933,,,0.9599528857479388,,0.9781931464174455,0.9241549876339654,
ABHD5,,,,,0.8711538461538462,,0.9045092838196287,
ABHD6,,,,,0.016968011126564674,,,
ABI1,0.49231613611416025,,0.5415896487985212,0.44878706199460916,0.9583489681050656,0.4423631123919308,0.4943214082907439,
ABI2,0.985014717687985,0.8471502590673575,0.9596602972399151,0.9485488126649076,0.934375,0.9498044328552803,,
ABITRAM,0.35943775100401604,,,,0.1027190332326284,0.15841584158415842,0.0818639798488665,
ABL2,,0.7166666666666667,,0.944078947368421,0.9400521285838401,,,0.4671280276816609
ABLIM1,0.9666080843585237,0.788135593220339,,0.8985330073349633,0.9449891067538126,0.9818481848184818,0.9056492162082225,0.8846815834767642
ABLIM2,,,,0.958498023715415,0.9821944177093359,0.9662921348314607,0.98338081671415,
ABR,0.9918793503480279,,0.978397212543554,0.9786363636363636,0.9729916897506925,0.9787812840043526,0.9857631607990288,0.978405315614618
ABRAXAS2,,,,0.9071428571428571,,,,
ACAA1,,,,,0.9892071398920714,,,
ACACA,,,,,0.9198207171314741,,,
ACAD11,0.8392282958199357,,,,,,,
ACAD8,,,,0.9468085106382979,0.9573560767590619,,,
ACADSB,0.8675034867503487,,0.9043062200956937,0.8941176470588236,0.8760456273764259,,0.9135446685878963,
ACADVL,,0.9698375870069605,,,,0.9770833333333333,0.991504854368932,
ACAP2,0.9282051282051282,0.7244897959183674,0.7715736040609137,0.883495145631068,0.8891076115485564,,0.8593327321911632,
ACAP3,,0.590443686006826,0.947069943289225,0.4323962516733601,0.498385676548283,0.9595959595959596,0.3445635528330781,0.9407407407407408
ACAT1,0.9356164383561644,,0.9748062015503876,,0.9669781931464174,0.9378980891719745,0.9618282270215972,
ACBD3,0.8722358722358723,0.42857142857142855,,0.875,,,,
ACBD5,,0.9437229437229437,0.949438202247191,,0.9452798663324979,,,
ACBD6,0.08485856905158069,,,,,0.8097560975609757,,
ACBD7,0.8309137489325363,,0.6428571428571429,,0.7900709219858156,,0.7972560975609756,
ACER3,0.682261208576998,0.8075471698113208,0.8216216216216217,0.5432098765432098,0.9042759961127308,0.6363636363636364,0.719017094017094,0.48148148148148145
ACIN1,,0.6319702602230484,,0.925207756232687,,0.6875,,
ACO2,,0.9622356495468278,0.9831670822942643,0.9755476311767702,0.9950933624097043,0.9695398574206092,0.9950550327005903,
ACOT13,0.8606811145510835,,,,0.08268330733229329,,,
ACOT7,,,,,,,,0.955078125
ACOT8,,0.8615384615384616,,,,,,
ACOT9,,,,,0.6732142857142858,0.6372549019607843,,
ACOX1,0.9354275741710296,,0.8248847926267281,0.7313432835820896,0.6768867924528302,0.7847682119205298,0.8531157270029673,0.7531914893617021
ACP1,0.796794208893485,0.6597222222222222,,0.9408983451536643,0.7557069846678024,0.8313659359190556,0.8569540799471423,
ACP6,,,0.5,,,,,
ACSBG1,0.19488817891373802,,0.16412213740458015,0.07364341085271318,0.18927973199329984,,0.255,
ACSL3,0.6930083043128851,0.6206896551724138,0.9193121693121693,0.7052860246198407,0.7116778871051269,0.9200376293508937,0.9385924207269914,0.8350515463917526
ACSL4,,,,,,0.9703557312252964,0.9807549962990377,
ACSL6,0.8457273320287019,0.7966101694915254,0.8154506437768241,0.8688327316486161,0.7239819004524887,0.9714285714285714,0.9860093271152565,
ACSS2,0.891588785046729,,,,,,,
ACTB,,,,,,0.9789323939845549,,
ACTG1,0.9843682153712549,,,,,,0.9900879992263805,
ACTN1,,,,,,,,0.9678714859437751
ACTN2,0.1391634980988593,0.576,,0.14838709677419354,0.14042995839112343,,0.1768813033359193,
ACTR10,0.9719719719719719,,,,0.0542849962302086,0.02454780361757106,,
ACTR1A,0.7166136724960255,0.9197860962566845,0.8477951635846372,0.892925430210325,0.7961529957992483,0.7117486338797814,,0.8666666666666667
ACTR2,0.9804670912951168,,,0.9653361344537815,,0.7954779033915724,0.7275397796817625,0.8469387755102041
ACTR3,0.12128043282236249,0.07981220657276995,0.5331905781584583,0.4357476635514019,0.11747713047664901,0.08756345177664974,0.4480177432769615,
ACTR6,0.8989569752281616,,,,,0.8708010335917312,0.9368663594470046,
ACTR8,,,,,0.3324175824175824,0.25925925925925924,,
ACVR1B,,,,,,0.9195402298850575,,
ACVR1C,,,,0.8636363636363636,,0.8571428571428571,,
ACVR2A,0.5863636363636363,,0.8142857142857143,0.6694915254237288,0.6996753246753247,0.7252747252747253,0.7824019024970273,
ACVRL1,,,0.6956521739130435,,,,0.6928104575163399,
ACYP2,,0.9694835680751174,,,,,,
ADAL,0.539568345323741,0.6521739130434783,,0.3944954128440367,0.23255813953488372,,,
ADAM10,,0.24468085106382978,,0.09020618556701031,0.09339019189765459,0.953307392996109,0.9612289685442575,0.39308176100628933
ADAM11,,,,0.9692832764505119,0.897053726169844,0.9427083333333334,,
ADAM17,0.6733333333333333,0.52,0.5841121495327103,,0.6800382043935053,0.4697674418604651,0.7122719734660033,0.4970414201183432
ADAM22,0.953307392996109,,,,0.9370777027027027,0.9324577861163227,0.9788833214030065,
ADAM23,0.86735807860262,,0.8936170212765957,0.739454094292804,0.904093567251462,0.5662650602409639,0.9522554188635032,0.8848920863309353
ADAM9,,,,,,,0.9589770911028237,
ADAMTS1,,,,,0.971650917176209,0.75,,
ADAMTS10,0.7694369973190348,,,,,,0.8711111111111111,
ADAMTS19,,,,,0.366412213740458,,,
ADAMTS4,,0.2200557103064067,,,0.11134278565471226,,0.10364145658263306,
ADAR,,,,0.9511661807580175,,0.9783677482792527,,0.9698412698412698
ADARB2,,0.6703601108033241,0.6851851851851852,0.6333333333333333,0.6763412489006156,,0.927699530516432,0.6923076923076923
ADAT1,0.7131782945736435,,,,,0.7916666666666666,,
ADCY1,0.9673242909987669,0.7619047619047619,0.989492119089317,0.9849833147942157,0.9762282091917591,0.7622663551401869,0.9550301344459898,0.9760869565217392
ADCY2,0.02851182197496523,0.8851674641148325,,,,,,
ADCY5,,0.5958549222797928,0.6282894736842105,0.6583333333333333,0.45352743561030234,,0.9310710498409331,
ADCY9,,,0.7961165048543689,,0.9272863568215892,,,
ADCYAP1,0.3980952380952381,,,0.2912621359223301,,0.6521739130434783,0.4179523141654979,
ADCYAP1R1,,,,0.9662921348314607,,,,
ADD1,0.9832477708727371,0.9847009735744089,0.9596443228454172,,0.988756048961002,,,
ADD2,0.923469387755102,0.8488888888888889,0.9632107023411371,0.903976721629486,0.5246826516220028,0.861557478368356,,
ADD3,0.74886630179828,0.943754565376187,0.9045401629802096,0.8479087452471483,0.8510028653295129,0.9703274215552524,,
ADGRB3,0.9717894736842105,0.67828418230563,0.7866894197952219,0.8325123152709359,0.8424845573095402,0.8357843137254902,0.7994173016584492,0.7168
ADGRB3-DT,0.16881594372801875,,0.1391941391941392,0.9147058823529411,0.21314102564102563,0.9291338582677166,0.05224564619615032,0.3181818181818182
ADGRF5,,,,,,,0.75,
ADGRL1,0.4369703389830508,0.8978102189781022,,,0.3574193548387097,0.49096385542168675,0.5535199670646357,0.953125
ADGRL2,0.10051736881005174,,0.6783625730994152,0.1152073732718894,0.2595419847328244,0.1423076923076923,0.7191211401425178,
